file	line	key	kind	burmese	english	reviewer_fix	notes
src/lib/ui.ts	46	confusingHead	app voice (plain Burmese)	မှန်ပါတယ် — ရှုပ်အောင် ဖန်တီးထားတာပါ။	Fair — it's designed to be confusing.		
src/lib/ui.ts	47	confusingBody	app voice (plain Burmese)	ဒီအပိုင်းက သဲလွန်စပါ။	Here's the fragment that tips it.		
src/lib/ui.ts	48	instinctHead	app voice (plain Burmese)	ခံစားချက် ကောင်းတယ်။	Good instinct.		
src/lib/ui.ts	49	instinctBody	app voice (plain Burmese)	ဒီထဲမှာ သင့်အပေါ် အလုပ်လုပ်ဖို့ ဖန်တီးထားတာ ရှိတယ်။	Something here is designed to work on you.		
src/lib/ui.ts	50	balanceGenuine	app voice (plain Burmese)	စာတိုင်းက ထောင်ချောက် မဟုတ်ပါ။ အစစ်ကို ယုံတတ်တာလည်း ကျွမ်းကျင်မှုတစ်ဝက်ပါ — ရည်မှန်းချက်က မျက်စိရှင်းဖို့၊ အားလုံးကို သံသယဖြစ်ဖို့ မဟုတ်ပါ။	Not every message is a trap. Trusting real ones is half the skill — the goal is a sharp eye, not blanket suspicion.		
src/lib/ui.ts	51	balanceFake	app voice (plain Burmese)	အစစ်တွေလည်း ရှိပါတယ်။ အစစ်ကို အတုလို့ ခေါ်တာက တိကျမှု ဆုံးရှုံးစေတယ် — မျက်စိရှင်းဖို့ ရည်မှန်းပါ။	Real messages exist too. Calling a real one fake costs accuracy — aim for a sharp eye, not blanket suspicion.		
src/lib/ui.ts	54	pasteYourOwn	app voice (plain Burmese)	ကိုယ်ပိုင် စာ ထည့်ပါ ›	Paste your own ›		
src/lib/ui.ts	55	whichTechnique	app voice (plain Burmese)	ဒါ ဘယ်နည်းစနစ် သုံးထားလဲ။	Which technique is this using?		
src/lib/ui.ts	56	pickAsMany	app voice (plain Burmese)	သက်ဆိုင်သမျှ ရွေးပါ — အစစ်ထင်ရင် တစ်ခုမှ မရွေးပါနဲ့။	Pick as many as apply — or none if it looks genuine.		
src/lib/ui.ts	57	check	app voice (plain Burmese)	စစ်ဆေးပါ	Check		
src/lib/ui.ts	58	looksGenuine	app voice (plain Burmese)	အစစ် ထင်ပါတယ်	It looks genuine		
src/lib/ui.ts	59	whyDoesThisWork	app voice (plain Burmese)	ဘာကြောင့် အလုပ်ဖြစ်လဲ။ သင်ခန်းစာ ဖတ်ပါ ›	Why does this work? Read the lesson ›		
src/lib/ui.ts	60	tryBuilding	app voice (plain Burmese)	တစ်ခု တည်ဆောက်ကြည့်ပါ →	Try building one →		
src/lib/ui.ts	63	pickRole	app voice (plain Burmese)	အခန်းကဏ္ဍ ရွေးပါ	Pick a role		
src/lib/ui.ts	64	pickTechniques	app voice (plain Burmese)	နည်းစနစ် ၂-၃ ခု ရွေးပါ	Pick 2–3 techniques		
src/lib/ui.ts	65	yourGoal	app voice (plain Burmese)	သင့် ရည်ရွယ်ချက်	Your goal		
src/lib/ui.ts	66	writeIt	app voice (plain Burmese)	ရေးကြည့်ပါ →	Write it →		
src/lib/ui.ts	67	fillFromDeck	app voice (plain Burmese)	ဖဲထုပ်ထဲက ဖြည့်ပါ	Fill from the deck		
src/lib/ui.ts	68	seeIfFool	app voice (plain Burmese)	လူတွေကို လှည့်နိုင်မလား ကြည့်ပါ	See if it would fool people		
src/lib/ui.ts	69	buildEmptyHint	app voice (plain Burmese)	အောက်က အပိုင်းအစတွေကို နှိပ်ပြီး စာအတု တစ်စောင် တည်ဆောက်ပါ။ ဒီစာမျက်နှာထဲမှာပဲ ရှိနေမှာပါ။	Tap fragments below to assemble a fake message. It stays locked to this screen.		
src/lib/ui.ts	70	gameContentBanner	app voice (plain Burmese)	ဂိမ်း အကြောင်းအရာ — အတု · ကူးယူ၊ မျှဝေ မရပါ	GAME CONTENT — FAKE · CANNOT BE COPIED OR SHARED		
src/lib/ui.ts	71	backToDefence	app voice (plain Burmese)	ကာကွယ်ရေးဘက် ပြန်သွားပါ →	Back to defence — see your progress →		
src/lib/ui.ts	72	buildStickNote	app voice (plain Burmese)	တစ်ခါ ကိုယ်တိုင် တည်ဆောက်ပြီးရင် သဘာဝထဲမှာ မှတ်မိလာပါလိမ့်မယ်။ အဲဒါက ဒီအဆင့်ရဲ့ ရည်ရွယ်ချက်ပါ။	Now you've built one, you'll recognise it in the wild. That's the whole point of the seat.		
src/lib/ui.ts	73	goalFallback	app voice (plain Burmese)	ရည်ရွယ်ချက် သတ်မှတ်ဖို့ အပေါ်က အခန်းကဏ္ဍ တစ်ခု ရွေးပါ။	Pick a role above to set your goal.		
src/lib/ui.ts	76	buildUses	app voice (plain Burmese)	သင် သုံးထားတဲ့ နည်းစနစ်များ	Techniques you used		
src/lib/ui.ts	77	buildNotUsed	app voice (plain Burmese)	မသုံးထားသေးတာ	Left unused		
src/lib/ui.ts	80	youTab	app voice (plain Burmese)	မှတ်တမ်း	YOU		
src/lib/ui.ts	81	techniquesYouCanName	app voice (plain Burmese)	သင် အမည်တပ်နိုင်တဲ့ နည်းစနစ်များ	Techniques you can name		
src/lib/ui.ts	82	progressNote	app voice (plain Burmese)	တိုးတက်မှုကို သင်ရရှိထားတဲ့ ကျွမ်းကျင်မှုနဲ့ တိုင်းတာပါတယ် — အမှတ်တွေ ဒါမှမဟုတ် ပြီးသွားတဲ့ သင်ခန်းစာ အရေအတွက်နဲ့ မဟုတ်ပါဘူး။	Progress is measured by the skill you carry — not points or lessons finished.		
src/lib/ui.ts	83	nextRank	app voice (plain Burmese)	နောက်တစ်ဆင့်	next		
src/lib/ui.ts	84	topRank	app voice (plain Burmese)	အမြင့်ဆုံး အဆင့် — ဆက်ထိန်းထားပါ	top rank — stay sharp		
src/lib/ui.ts	85	forFacilitators	app voice (plain Burmese)	သင်ကြားပေးသူများအတွက်	For facilitators		
src/lib/ui.ts	86	fiveQuestionCheck	app voice (plain Burmese)	မေးခွန်း ၅ ခု စစ်ဆေးမှု	Run the 5-question check		
src/lib/ui.ts	87	printDeck	app voice (plain Burmese)	ကတ်ဖဲထုပ် ပုံနှိပ်ပါ (PDF)	Print the card deck (PDF)		
src/lib/ui.ts	88	genuineTrusted	app voice (plain Burmese)	သင် ယုံခဲ့တဲ့ စစ်မှန်တဲ့ စာများ	Genuine messages you trusted		
src/lib/ui.ts	89	trustingIsSkill	app voice (plain Burmese)	အစစ်ကို ယုံတတ်တာလည်း ကျွမ်းကျင်မှုတစ်ခုပါ	trusting real messages is a skill too		
src/lib/ui.ts	92	theCasebook	app voice (plain Burmese)	မှတ်စုစာအုပ်	The casebook		
src/lib/ui.ts	93	whyTricksWork	app voice (plain Burmese)	လှည့်ကွက်တွေ ဘာကြောင့် အလုပ်ဖြစ်လဲ။	Why the tricks work.		
src/lib/ui.ts	94	hubIntro	app voice (plain Burmese)	ကစားခြင်း နောက်ကွယ်က သင်ခန်းစာ တိုတွေ။ တစ်ခုစီ လက်တွေ့နဲ့ ဆုံးပါတယ် — အမှန်ခြစ် တစ်ခုနဲ့ မဟုတ်ပါ။ ဖတ်ရုံနဲ့ မပြောင်းလဲပါ၊ သဘာဝထဲမှာ နည်းစနစ်ကို အမည်တပ်နိုင်မှ ပြောင်းလဲပါတယ်။	Short lessons behind the loop. Every lesson ends in practice, never a checkbox. Reading alone changes nothing; naming a technique in the wild does.		
src/lib/ui.ts	95	practisedOf	app voice (plain Burmese)	လေ့ကျင့်ပြီး	practised		
src/lib/ui.ts	98	meetIt	app voice (plain Burmese)	တွေ့ကြည့်ပါ	Meet it		
src/lib/ui.ts	99	howItWorks	app voice (plain Burmese)	ဘယ်လို အလုပ်လုပ်လဲ	How it works		
src/lib/ui.ts	100	theTell	app voice (plain Burmese)	သဲလွန်စ	The tell		
src/lib/ui.ts	101	practice	IN-WORLD (keep formal)	လက်တွေ့	Practice		
src/lib/ui.ts	102	carryIt	app voice (plain Burmese)	သယ်သွားပါ	Carry it		
src/lib/ui.ts	103	readAsArrives	app voice (plain Burmese)	ရောက်လာတဲ့ အတိုင်း ဖတ်ပါ — အခုထိ ဘာမှ မပြောသေးပါ။	Read it the way it would arrive — no framing yet.		
src/lib/ui.ts	104	continue	app voice (plain Burmese)	ဆက်သွားပါ →	Continue →		
src/lib/ui.ts	105	copied	app voice (plain Burmese)	ကူးပြီးပါပြီ	Copied		
src/lib/ui.ts	106	copyLine	app voice (plain Burmese)	ဒီစာကြောင်းကို ကူးပါ	Copy this line		
src/lib/ui.ts	107	toTheLoop	app voice (plain Burmese)	ကစားခြင်းဆီ →	To the loop →		
src/lib/ui.ts	110	kindConcept	app voice (plain Burmese)	အယူအဆ	Concept		
src/lib/ui.ts	111	howQuestion	app voice (plain Burmese)	ဒါက ဘယ်လို အလုပ်လုပ်လဲ။	How does this work?		
src/lib/ui.ts	112	tellNote	app voice (plain Burmese)	တစ်ကြောင်းတည်းပါ။ ဒါတစ်ခုပဲ မှတ်မိရင် လုံလောက်ပါတယ်။	One sentence. If you remember only this, that's enough.		
src/lib/ui.ts	113	sayThisToSomeone	app voice (plain Burmese)	တစ်ယောက်ယောက်ကို ဒီလို ပြောပါ	Say this to someone		
src/lib/ui.ts	116	carryWhatFor	app voice (plain Burmese)	တစ်ယောက်ယောက်က သံသယဖြစ်စရာ တစ်ခု မျှဝေတဲ့အခါ ဒီစာကြောင်းကို ကူးပြီး chat ထဲမှာ ပြန်ကပ်ပါ။ ငြင်းခုံစရာ မလိုပါ။	When someone shares something suspicious, copy this line and paste it into the chat. No argument needed.		
src/lib/ui.ts	117	carryShareNote	app voice (plain Burmese)	Sone Dauk Lay ထဲမှာ မျှဝေဖို့ ရည်ရွယ်တဲ့ တစ်ခုတည်းတဲ့ အရာပါ။ လက်ဆင့်ကမ်းပါ။	The only thing in Sone Dauk Lay you're meant to share. Pass it on.		
src/lib/ui.ts	118	namedIt	app voice (plain Burmese)	အမည်တပ်နိုင်ပြီ — အဲဒါပဲ။	Named it — that's the move.		
src/lib/ui.ts	119	theMoveHere	app voice (plain Burmese)	ဒီမှာ သုံးထားတာက	The move here is		
src/lib/ui.ts	120	pickOneToContinue	app voice (plain Burmese)	ဆက်သွားဖို့ တစ်ခု ရွေးပါ	Pick one to continue		
src/lib/ui.ts	121	practiseInLoop	app voice (plain Burmese)	ကစားခြင်းထဲမှာ လေ့ကျင့်ပါ →	Practise this in the loop →		
src/lib/ui.ts	122	backToCasebook	app voice (plain Burmese)	မှတ်စုစာအုပ်ဆီ ပြန်သွားပါ	Back to the casebook		
src/lib/ui.ts	123	lessonFinish	app voice (plain Burmese)	ပြီးပါပြီ →	Done →		
src/lib/ui.ts	126	cardsTitle	app voice (plain Burmese)	အယူအဆ ကတ်များ	Concept cards		
src/lib/ui.ts	127	tapToFlip	app voice (plain Burmese)	လှန်ကြည့်ဖို့ နှိပ်ပါ	tap to flip		
src/lib/ui.ts	128	cardNext	app voice (plain Burmese)	နောက်ကတ် →	Next card →		
src/lib/ui.ts	129	cardPrev	app voice (plain Burmese)	‹ ပြန်	‹ Back		
src/lib/ui.ts	130	deckDone	app voice (plain Burmese)	ဒီအစုံ ပြီးပါပြီ။	That's the deck.		
src/lib/ui.ts	131	deckDoneNote	app voice (plain Burmese)	ဒီစကားလုံးတွေက သင်နဲ့အတူ ပါသွားပါလိမ့်မယ်။	These words travel with you.		
src/lib/ui.ts	135	carryIntoWorld	app voice (plain Burmese)	သယ်သွားစရာ	Take it with you		
src/lib/ui.ts	136	carryIntoWorldBody	app voice (plain Burmese)	ဒီအပတ် သင့် feed ထဲမှာ ဒီနည်းစနစ်တစ်ခုကို တွေ့ရင် စိတ်ထဲမှာ အမည်တပ်ကြည့်ပါ။ ဘယ်သူ့ကိုမှ ပြောစရာ မလိုပါ။ အမည်တပ်နိုင်တာကိုယ်တိုင်က ကျွမ်းကျင်မှုပါ။	This week, when one of these shows up in your own feed, name it silently to yourself. You don't have to tell anyone. Being able to name it is the skill.		
src/lib/ui.ts	137	backToLesson	app voice (plain Burmese)	သင်ခန်းစာဆီ ပြန်သွားပါ →	Back to the lesson →		
src/lib/ui.ts	140	lensTitle	app voice (plain Burmese)	မှန်ဘီလူး	The Lens		
src/lib/ui.ts	141	lensSub	app voice (plain Burmese)	အတူကြည့်ပေးတယ် · ဘယ်တော့မှ အဆုံးအဖြတ် မပေးပါ	looks with you · never a verdict		
src/lib/ui.ts	142	lensPick	app voice (plain Burmese)	အတူကြည့်ဖို့ တစ်ခု ရွေးပါ	Pick something to look at together		
src/lib/ui.ts	143	lensSentMoney	app voice (plain Burmese)	ငွေ လွှဲပြီးသွားပြီ →	I already sent money →		
src/lib/ui.ts	144	lensAsk	app voice (plain Burmese)	မေးပါ	Ask		
src/lib/ui.ts	145	lensAskPlaceholder	app voice (plain Burmese)	သင့်စကားနဲ့ မေးပါ	ask in your own words		
src/lib/ui.ts	146	lensLookAnother	app voice (plain Burmese)	နောက်တစ်ခု ကြည့်ပါ →	Look at another →		
src/lib/ui.ts	147	lensClose	app voice (plain Burmese)	ပိတ်ပါ	Close		
src/lib/ui.ts	148	lensHelp	app voice (plain Burmese)	အကူအညီ	Help		
src/lib/ui.ts	149	whatYouCanCheck	app voice (plain Burmese)	သင်ကိုယ်တိုင် စစ်နိုင်တာများ	What you can check yourself		
src/lib/ui.ts	150	whatICantKnow	app voice (plain Burmese)	ကျွန်တော် မသိနိုင်တာ	What I can't know		
src/lib/ui.ts	153	rankUp	app voice (plain Burmese)	အဆင့် တက်ပြီ	rank up		
src/lib/ui.ts	154	youreNowA	app voice (plain Burmese)	သင် ယခု ဖြစ်ပါပြီ	You're now a		
src/lib/ui.ts	155	rankUpBody	app voice (plain Burmese)	နည်းစနစ်တွေကို တကယ် အမည်တပ်နိုင်လို့ ရတာပါ။ မြေပုံပေါ်မှာ ပိုခက်တဲ့ အမှုတွေ ပွင့်နေနိုင်ပါတယ်။	You earned it by naming techniques for real. Harder cases may be open on the map.		
src/lib/ui.ts	156	keepGoing	app voice (plain Burmese)	ဆက်သွားပါ →	Keep going →		
src/lib/ui.ts	157	levelCleared	app voice (plain Burmese)	အဆင့် ပြီးပြီ	level cleared		
src/lib/ui.ts	158	youCleared	app voice (plain Burmese)	သင် ပြီးမြောက်ပါပြီ	You cleared		
src/lib/ui.ts	159	levelClearedBody	app voice (plain Burmese)	မျက်စိ ရှင်းပါတယ်။ နောက်အဆင့်အတွက် မြေပုံဆီ ပြန်သွားပါ၊ ဒါမှမဟုတ် ဒီမှာ ဆက်ကစားပါ။	That's a sharp eye. Head back to the map for the next level, or stay and play another case here.		
src/lib/ui.ts	160	nice	app voice (plain Burmese)	ကောင်းပါတယ် →	Nice →		
src/lib/ui.ts	162	nextForYou	app voice (plain Burmese)	သင့်အတွက် နောက်တစ်ခု	Next for you		
src/lib/ui.ts	163	startLesson	app voice (plain Burmese)	စဖတ်ပါ →	Start →		
src/lib/ui.ts	164	pauseAuto	app voice (plain Burmese)	ရပ်ပါ	Pause		
src/lib/ui.ts	165	playAuto	app voice (plain Burmese)	ဆက်ပါ	Play		
src/lib/ui.ts	166	prevLesson	app voice (plain Burmese)	အရင်တစ်ခု	Previous lesson		
src/lib/ui.ts	167	nextLesson	app voice (plain Burmese)	နောက်တစ်ခု	Next lesson		
src/lib/ui.ts	168	allLessons	app voice (plain Burmese)	သင်ခန်းစာ အားလုံး	All lessons		
src/lib/ui.ts	169	cardsCount	app voice (plain Burmese)	ကတ်	cards		
src/lib/ui.ts	170	alsoPresent	app voice (plain Burmese)	ဒီစာထဲမှာ ပါသေးတာ	Also in this message		
src/lib/ui.ts	174	outcomeNamed	app voice (plain Burmese)	မှန်သွားပြီ!	You got it!		
src/lib/ui.ts	175	outcomeNamedSub	app voice (plain Burmese)	လှည့်ကွက်ကို မှန်မှန် ထောက်လှမ်းနိုင်ခဲ့တယ်။	You spotted the trick correctly.		
src/lib/ui.ts	176	outcomeMissed	app voice (plain Burmese)	ဒီတစ်ခါ လွဲသွားတယ်	Missed this one		
src/lib/ui.ts	177	outcomeMissedSub	app voice (plain Burmese)	ရပါတယ် — အောက်မှာ ဘာလှည့်ကွက်လဲ ကြည့်လိုက်ပါ။	That's fine — see which trick it was below.		
src/lib/ui.ts	178	outcomeTrusted	app voice (plain Burmese)	မှန်ပါတယ် — ဒါ အစစ်ပါ	Correct — this one is real		
src/lib/ui.ts	179	outcomeTrustedSub	app voice (plain Burmese)	အစစ်ကို ယုံတတ်တာလည်း ကျွမ်းကျင်မှုပါ။	Trusting real messages is a skill too.		
src/lib/ui.ts	180	outcomeOverCalled	app voice (plain Burmese)	ဒါက အစစ်ပါ	This one was real		
src/lib/ui.ts	181	outcomeOverCalledSub	app voice (plain Burmese)	အစစ်ကို အတုလို့ ထင်တာလည်း တိကျမှု လျော့စေတယ်။	Calling a real message fake costs accuracy too.		
src/lib/ui.ts	186	lvlNotStarted	app voice (plain Burmese)	မစရသေးဘူး	Not started		
src/lib/ui.ts	187	lvlJustStarted	app voice (plain Burmese)	စလိုက်ပြီ	Just started		
src/lib/ui.ts	188	lvlHalfway	app voice (plain Burmese)	တစ်ဝက်လောက် ရောက်ပြီ	Halfway		
src/lib/ui.ts	189	lvlNearly	app voice (plain Burmese)	နီးပါးပြီ	Nearly there		
src/lib/ui.ts	190	lvlCleared	app voice (plain Burmese)	ပြီးပြီ	Cleared		
src/lib/ui.ts	191	lvlNotYet	app voice (plain Burmese)	မဖွင့်သေး	Not yet		
src/lib/ui.ts	194	tableTitle	app voice (plain Burmese)	စားပွဲဝိုင်း ကစားနည်း	Table round		
src/lib/ui.ts	195	tableSub	app voice (plain Burmese)	သူငယ်ချင်း ၃-၄ ယောက်၊ ဖုန်းတစ်လုံး။ အင်တာနက် မလိုပါ။	3-4 friends, one phone. No internet needed.		
src/lib/ui.ts	196	tableStart	app voice (plain Burmese)	စားပွဲဝိုင်း စတင်ပါ →	Start a table round →		
src/lib/ui.ts	197	tableHowTitle	app voice (plain Burmese)	ဘယ်လို ကစားရလဲ	How it works		
src/lib/ui.ts	199	mm	app voice (plain Burmese)	လူတိုင်း ဖုန်းကို တစ်ယောက်ချင်း လျှို့ဝှက် ကြည့်ပြီး တူညီတဲ့ အဖြေတစ်ခုကို ယုံအောင် စာတစ်ကြောင်း ရေးပါတယ်။ တစ်ယောက်ကတော့ လှည့်စားသူ ဖြစ်ပြီး သက်သေနဲ့ မဟုတ်ဘဲ လှည့်ကွက်တစ်ခုနဲ့ ဖျောင်းဖျရမှာပါ။ ပြီးရင် အားလုံး အသံထွက် ဆွေးနွေးပြီး ဘယ်သူလဲ ခန့်မှန်းကြပါတယ်။			
src/lib/ui.ts	202	playersLabel	app voice (plain Burmese)	ကစားသမားများ	Players		
src/lib/ui.ts	203	addPlayer	app voice (plain Burmese)	+ ကစားသမား ထည့်ပါ	+ Add player		
src/lib/ui.ts	204	removePlayer	app voice (plain Burmese)	ဖယ်ရှားပါ	Remove		
src/lib/ui.ts	205	playerNamePlaceholder	app voice (plain Burmese)	နာမည်	Name		
src/lib/ui.ts	206	pickHat	app voice (plain Burmese)	ဦးထုပ် ရွေးပါ	Pick a hat		
src/lib/ui.ts	207	hatDeerstalker	app voice (plain Burmese)	စုံထောက် ဦးထုပ်	Deerstalker		
src/lib/ui.ts	208	hatBeanie	app voice (plain Burmese)	ဘောလုံးပါ ဦးထုပ်	Bobble beanie		
src/lib/ui.ts	209	hatNewsboy	app voice (plain Burmese)	သတင်းက ဦးထုပ်	Newsboy cap		
src/lib/ui.ts	210	hatVisor	app voice (plain Burmese)	နဖူးစည်း	Visor		
src/lib/ui.ts	211	hatTaken	app voice (plain Burmese)	ယူပြီး	taken		
src/lib/ui.ts	212	needThreePlayers	app voice (plain Burmese)	ကစားသမား ၃ ယောက် အနည်းဆုံး လိုပါတယ်၊ နာမည်တွေ ထည့်ပါ။	You need at least 3 players, each with a name.		
src/lib/ui.ts	213	dealRound	app voice (plain Burmese)	အခန်းကဏ္ဍ ဝေပါ →	Deal the round →		
src/lib/ui.ts	214	passTo	app voice (plain Burmese)	ဖုန်းကို ပေးပါ	Pass the phone to		
src/lib/ui.ts	215	passGate	app voice (plain Burmese)	သင်တစ်ယောက်တည်း မြင်ရတဲ့အခါ နှိပ်ပါ	Tap when only you can see		
src/lib/ui.ts	216	passGateWarn	app voice (plain Burmese)	အခြားသူများ မကြည့်ပါနှင့်	Everyone else, look away		
src/lib/ui.ts	221	youAreDetective	app voice (plain Burmese)	သင်က စုံထောက် ဖြစ်တယ်	You are a Detective		
src/lib/ui.ts	222	youAreManipulator	app voice (plain Burmese)	သင်က လှည့်စားသူ ဖြစ်တယ်	You are the Manipulator		
src/lib/ui.ts	223	detectiveBrief	app voice (plain Burmese)	စစ်လို့ရတဲ့ အကြောင်းပြချက်နဲ့ ဖျောင်းဖျပါ။	Persuade with a reason someone can check.		
src/lib/ui.ts	224	detectiveWarn	app voice (plain Burmese)	ဒီအထဲမှာ လှည့်စားသူ တစ်ယောက် ရှိတယ်။	One of you is the Manipulator.		
src/lib/ui.ts	225	manipulatorBrief	app voice (plain Burmese)	သက်သေနဲ့ မဟုတ်ဘဲ သင့်လှည့်ကွက်နဲ့ ဖျောင်းဖျပါ။	Persuade with your technique, not a reason.		
src/lib/ui.ts	226	manipulatorWarn	app voice (plain Burmese)	မဖမ်းမိပါစေနဲ့။	Don't get caught.		
src/lib/ui.ts	227	yourTechnique	app voice (plain Burmese)	သင့် လှည့်ကွက်	Your technique		
src/lib/ui.ts	228	techniqueLooksLike	app voice (plain Burmese)	ဒါက ဘယ်လို ပုံစံလဲ	What it looks like		
src/lib/ui.ts	229	everyoneArgues	app voice (plain Burmese)	အားလုံး ဖျောင်းဖျရမယ့် အချက်	Everyone must argue		
src/lib/ui.ts	230	theSituation	app voice (plain Burmese)	အခြေအနေ	The situation		
src/lib/ui.ts	231	reasonHelpers	app voice (plain Burmese)	စစ်လို့ရတဲ့ အကြောင်းပြချက် နမူနာများ	Checkable reasons you could use		
src/lib/ui.ts	232	techniqueHelpers	app voice (plain Burmese)	လှည့်ကွက် အပိုင်းအစများ	Trick fragments you could use		
src/lib/ui.ts	233	writeOneLine	app voice (plain Burmese)	စာတစ်ကြောင်း ရေးပါ	Write one line		
src/lib/ui.ts	234	doneHide	app voice (plain Burmese)	ပြီးပြီ — ဖုံးပါ	Done — hide it		
src/lib/ui.ts	236	lineUpTitle	app voice (plain Burmese)	စာကြောင်းအားလုံး	Every line		
src/lib/ui.ts	237	lineUpBody	app voice (plain Burmese)	ဖုန်းကို စားပွဲပေါ် တင်ပါ။ အသံထွက် ဆွေးနွေးပါ။ သက်သေမပါဘဲ လှည့်ကွက်နဲ့ ဖျောင်းဖျနေတာ ဘယ်သူလဲ။	Put the phone on the table. Talk it out. Who persuaded with a trick instead of a reason?		
src/lib/ui.ts	238	talkThenVote	app voice (plain Burmese)	ဆွေးနွေးပြီးရင် မဲပေးပါ →	Talked it out — now vote →		
src/lib/ui.ts	239	voteTitle	app voice (plain Burmese)	ဘယ်သူက လှည့်စားသူလဲ	Who was the Manipulator?		
src/lib/ui.ts	240	voteGate	app voice (plain Burmese)	မဲပေးဖို့ ဖုန်းကို ယူပါ	Take the phone to vote		
src/lib/ui.ts	241	lockVote	app voice (plain Burmese)	မဲ သတ်မှတ်ပါ	Lock in vote		
src/lib/ui.ts	242	revealTitle	app voice (plain Burmese)	လှည့်စားသူက	The Manipulator was		
src/lib/ui.ts	243	usedTechnique	app voice (plain Burmese)	သုံးခဲ့တဲ့ လှည့်ကွက်	The technique used		
src/lib/ui.ts	244	foolCountNone	app voice (plain Burmese)	ဘယ်သူမှ မလှည့်စားခံရပါ။	Nobody was fooled.		
src/lib/ui.ts	245	foolCountOne	app voice (plain Burmese)	တစ်ယောက် လှည့်စားခံရတယ်။	One player was fooled.		
src/lib/ui.ts	246	foolCountMany	app voice (plain Burmese)	ယောက် လှည့်စားခံရတယ်။	players were fooled.		
src/lib/ui.ts	247	votedFor	app voice (plain Burmese)	မဲပေးခဲ့သူ	Who voted for whom		
